,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 1069.4149261760795, 'MAPE': 50.95649387306461, 'RMSE': 1265.7566570007514, 'WAPE': 898561.8210111528, 'R2': -2.4943711258081116}","{'MAE': 3.116733965514216, 'MAPE': 23.64540100889473, 'RMSE': 4.122971932993778, 'WAPE': 363696.8232882872, 'R2': 0.9957572277002682}","{'MAE': 24827.044404111515, 'MAPE': 88.54080683818508, 'RMSE': 26190.003925418765, 'WAPE': 1432650.4527019416, 'R2': -8.864449207577847}"
8:2,"{'MAE': 556.9204494953324, 'MAPE': 32.841966201193955, 'RMSE': 603.3642721576209, 'WAPE': 369742.7826614188, 'R2': -5.755642334117989}","{'MAE': 1.523727282952353, 'MAPE': 16.472071897275008, 'RMSE': 2.4137982695487983, 'WAPE': 165207.54634506462, 'R2': 0.9960594902223205}","{'MAE': 20613.370546150058, 'MAPE': 85.46382599330282, 'RMSE': 21093.172301516428, 'WAPE': 917616.284344886, 'R2': -21.234008958890048}"
9:1,"{'MAE': 672.3200611351394, 'MAPE': 37.38732559428289, 'RMSE': 684.5983212969923, 'WAPE': 202655.56492495214, 'R2': -27.130736481539657}","{'MAE': 1.2004632160594093, 'MAPE': 19.3851951495078, 'RMSE': 1.7898612462157903, 'WAPE': 99575.80516468588, 'R2': 0.9984592617962449}","{'MAE': 24108.936970832303, 'MAPE': 86.3805419549738, 'RMSE': 24167.394958440414, 'WAPE': 459985.6581865859, 'R2': -205.957683079604}"
