,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 47.76601103275199, 'MAPE': 35.56857441831558, 'RMSE': 55.94583137549561, 'WAPE': 571812.031189541, 'R2': 0.9931734063597357}","{'MAE': 3.4256176017636397, 'MAPE': 23.634773044700697, 'RMSE': 4.549509099138456, 'WAPE': 363922.546098181, 'R2': 0.9948339566761253}","{'MAE': 612.7714561707822, 'MAPE': 35.349438014945086, 'RMSE': 696.0817932236731, 'WAPE': 539787.0180385364, 'R2': 0.9930317734356269}"
8:2,"{'MAE': 33.85509569614243, 'MAPE': 16.92113480699515, 'RMSE': 38.494243163589424, 'WAPE': 171478.42166293884, 'R2': 0.9725021309757278}","{'MAE': 5.31243277931691, 'MAPE': 16.244206685482183, 'RMSE': 6.334422058525099, 'WAPE': 161119.93345495907, 'R2': 0.9728628359673994}","{'MAE': 1076.328734746989, 'MAPE': 20.35924796440885, 'RMSE': 1275.2508768204743, 'WAPE': 207298.7225774383, 'R2': 0.9187309398235671}"
9:1,"{'MAE': 66.46900629221105, 'MAPE': 8.582288884883365, 'RMSE': 67.61978015930971, 'WAPE': 46335.518526468426, 'R2': 0.7255539707655867}","{'MAE': 2.7370034120054774, 'MAPE': 20.081454488780686, 'RMSE': 3.561263225155163, 'WAPE': 102969.80812604746, 'R2': 0.9939004433145261}","{'MAE': 338.7111654453213, 'MAPE': 7.621584607577056, 'RMSE': 428.50760576435175, 'WAPE': 40302.10296005932, 'R2': 0.9349362719475816}"
