,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 9.639191227705993, 'MAPE': 0.4966182192693839, 'RMSE': 16.202629286589065, 'WAPE': 0.5002716725474509, 'R2': 0.99943315311611}","{'MAE': 1.4056817375658779, 'MAPE': 0.4602854050260901, 'RMSE': 2.3079970827832827, 'WAPE': 0.4696962476823388, 'R2': 0.9986803250925703}","{'MAE': 108.92045240711381, 'MAPE': 0.38411624103063585, 'RMSE': 183.9644055152981, 'WAPE': 0.3920198230467222, 'R2': 0.9995166371748492}"
8:2,"{'MAE': 6.224744615887308, 'MAPE': 0.3897400794904755, 'RMSE': 10.212501952565345, 'WAPE': 0.3837972900089117, 'R2': 0.9980612918146231}","{'MAE': 1.0411288770435676, 'MAPE': 0.3703207712365345, 'RMSE': 1.7891581241980863, 'WAPE': 0.37780599818529337, 'R2': 0.99783826626718}","{'MAE': 72.25981981795316, 'MAPE': 0.30591613035890963, 'RMSE': 121.32486905743909, 'WAPE': 0.3015097630667789, 'R2': 0.9992627757910756}"
9:1,"{'MAE': 5.287486920077056, 'MAPE': 0.29690875256954063, 'RMSE': 8.795342605628697, 'WAPE': 0.2968898917323771, 'R2': 0.9954318325138565}","{'MAE': 0.7834128009941271, 'MAPE': 0.29565446684332275, 'RMSE': 1.3126732199635847, 'WAPE': 0.2981719118907157, 'R2': 0.9991769663538188}","{'MAE': 75.73865066257136, 'MAPE': 0.2734158288604728, 'RMSE': 127.91524540030896, 'WAPE': 0.271860086295015, 'R2': 0.9946747463872576}"
