,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 1816.356984537219, 'MAPE': 114.28322728426214, 'RMSE': 1929.1484614551036, 'WAPE': 94.26848426721497, 'R2': -7.03574366036716}","{'MAE': 154.1250477769664, 'MAPE': 57.92044019710198, 'RMSE': 166.03760396160268, 'WAPE': 51.499535549247774, 'R2': -5.829821652324485}","{'MAE': 18059.344115800304, 'MAPE': 79.01258675034009, 'RMSE': 19761.84869970439, 'WAPE': 64.9980855583879, 'R2': -4.577772328851952}"
8:2,"{'MAE': 648.7109921807887, 'MAPE': 40.65649256025426, 'RMSE': 733.210290515841, 'WAPE': 39.99738722814881, 'R2': -8.993215248634893}","{'MAE': 49.57596317002058, 'MAPE': 20.31087105934009, 'RMSE': 61.308127957614516, 'WAPE': 17.990180336399582, 'R2': -1.538287787432953}","{'MAE': 3967.7651757669328, 'MAPE': 17.641363940669304, 'RMSE': 4475.305377494148, 'WAPE': 16.55581125256107, 'R2': -0.003102415153797722}"
9:1,"{'MAE': 195.50483859899478, 'MAPE': 11.230564270385843, 'RMSE': 233.49274426549357, 'WAPE': 10.977504293091576, 'R2': -2.219461789222799}","{'MAE': 69.62968821385394, 'MAPE': 30.187021148765762, 'RMSE': 82.77675432544598, 'WAPE': 26.501503719027053, 'R2': -2.2728125120959657}","{'MAE': 7382.681381790068, 'MAPE': 26.197628951666974, 'RMSE': 7585.198615759124, 'WAPE': 26.49976438692879, 'R2': -17.72533487791387}"
