,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 110.39327364367394, 'MAPE': 32.20366256533127, 'RMSE': 278.97425785212204, 'WAPE': 528102.9907461, 'R2': 0.8302550550945762}","{'MAE': 1.9083638364212385, 'MAPE': 23.90149767698215, 'RMSE': 3.1365299576949766, 'WAPE': 366618.7792948806, 'R2': 0.9975445683590668}","{'MAE': 24827.292939267765, 'MAPE': 88.54177958553932, 'RMSE': 26190.239526624042, 'WAPE': 1432664.7944817492, 'R2': -8.864626686480321}"
8:2,"{'MAE': 8.851197050797571, 'MAPE': 16.92138546845633, 'RMSE': 14.124983563685653, 'WAPE': 173644.62302538095, 'R2': 0.9962975997162681}","{'MAE': 1.475777021278377, 'MAPE': 16.581030700620307, 'RMSE': 2.4598836432817976, 'WAPE': 166101.0113963706, 'R2': 0.9959075856798311}","{'MAE': 20609.450380134433, 'MAPE': 85.44683361225819, 'RMSE': 21089.341323042703, 'WAPE': 917441.7758546213, 'R2': -21.22593333390582}"
9:1,"{'MAE': 7.0080764163791995, 'MAPE': 8.191837160796597, 'RMSE': 11.450649332144488, 'WAPE': 43352.373295620484, 'R2': 0.9921300916903613}","{'MAE': 1.140233310803319, 'MAPE': 19.441869503462016, 'RMSE': 1.7700037565266205, 'WAPE': 99966.99582203833, 'R2': 0.9984932593756113}","{'MAE': 24111.876423957303, 'MAPE': 86.3911191165189, 'RMSE': 24170.327302249643, 'WAPE': 460041.74138436635, 'R2': -206.00790842652762}"
