,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 13.16042627019574, 'MAPE': 37.040934795785134, 'RMSE': 21.837019206094983, 'WAPE': 589466.3321716435, 'R2': 0.9989599474097766}","{'MAE': 1.9434253346770856, 'MAPE': 23.84999993826473, 'RMSE': 3.104484754833814, 'WAPE': 365947.5703091605, 'R2': 0.9975944852123108}","{'MAE': 20378.93600567401, 'MAPE': 71.13125504566408, 'RMSE': 22018.97373841665, 'WAPE': 1175971.3085008897, 'R2': -5.972617810113545}"
8:2,"{'MAE': 8.56278082315631, 'MAPE': 16.907482517687793, 'RMSE': 13.912501567419858, 'WAPE': 173362.41976496633, 'R2': 0.9964081522403077}","{'MAE': 1.3939978866856397, 'MAPE': 16.60034902095132, 'RMSE': 2.356480977866985, 'WAPE': 166489.0895994072, 'R2': 0.9962444085385915}","{'MAE': 15494.201600837561, 'MAPE': 63.27423784765568, 'RMSE': 16127.03183217452, 'WAPE': 689733.4751742715, 'R2': -11.996992316273356}"
9:1,"{'MAE': 7.620443092510935, 'MAPE': 8.21756506503664, 'RMSE': 12.57894267036399, 'WAPE': 43531.892235743166, 'R2': 0.990502753323665}","{'MAE': 0.9936491929971474, 'MAPE': 19.40733555061423, 'RMSE': 1.6641906088624279, 'WAPE': 99679.88585708613, 'R2': 0.9986680244421422}","{'MAE': 18341.773005493116, 'MAPE': 65.62830597028236, 'RMSE': 18418.544178762888, 'WAPE': 349951.2458159386, 'R2': -119.20775177756698}"
