,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 1810.4837753056318, 'MAPE': 113.93452396590136, 'RMSE': 1923.3036490582235, 'WAPE': 93.96366614128527, 'R2': -6.987125043764097}","{'MAE': 154.7284447783649, 'MAPE': 58.13331258868539, 'RMSE': 166.61239008996864, 'WAPE': 51.701155375304864, 'R2': -5.877190219307485}","{'MAE': 18096.63927402905, 'MAPE': 79.16378941674847, 'RMSE': 19798.3003744215, 'WAPE': 65.13231600828252, 'R2': -4.598368241877024}"
8:2,"{'MAE': 269.5499151770416, 'MAPE': 16.000511463053982, 'RMSE': 304.34922941797004, 'WAPE': 16.619561660897784, 'R2': -0.7218390449286869}","{'MAE': 49.73406687625612, 'MAPE': 20.37236314296028, 'RMSE': 61.464261603850645, 'WAPE': 18.04755318414993, 'R2': -1.5512327846292666}","{'MAE': 3967.9781525858157, 'MAPE': 17.640035726902777, 'RMSE': 4475.472808446274, 'WAPE': 16.556699915034375, 'R2': -0.0031774730638070015}"
9:1,"{'MAE': 247.70970650468482, 'MAPE': 13.468266814882842, 'RMSE': 277.52633226196934, 'WAPE': 13.908782954334578, 'R2': -3.5482558653862366}","{'MAE': 69.7008456078317, 'MAPE': 30.215782272345713, 'RMSE': 82.84372038415769, 'WAPE': 26.528586677309818, 'R2': -2.27811003817983}","{'MAE': 7368.539748777615, 'MAPE': 26.146927041327917, 'RMSE': 7571.24290156061, 'WAPE': 26.449003704800372, 'R2': -17.656494222902932}"
