,ETH_USDT,BNB_USDT,BTC_USDT
7:3,"{'MAE': 1467.2112626658331, 'MAPE': 91.67113782956729, 'RMSE': 1586.9451171947162, 'WAPE': 76.1479065011741, 'R2': -4.437741864240208}","{'MAE': 150.16192210524488, 'MAPE': 56.70337504528477, 'RMSE': 163.5106785960096, 'WAPE': 50.1752917980808, 'R2': -5.62351752550829}","{'MAE': 15982.502608096664, 'MAPE': 69.86557276066716, 'RMSE': 17628.127706630985, 'WAPE': 57.523244769965906, 'R2': -3.4383139538186507}"
8:2,"{'MAE': 348.7091726404465, 'MAPE': 24.159565963048877, 'RMSE': 449.4792897835366, 'WAPE': 21.500261250730173, 'R2': -2.7554977897827917}","{'MAE': 54.97490529654477, 'MAPE': 22.26583470505269, 'RMSE': 65.51073503807346, 'WAPE': 19.94935442544057, 'R2': -1.898208958292071}","{'MAE': 6403.990208905989, 'MAPE': 32.024920064793506, 'RMSE': 8381.68234303697, 'WAPE': 26.721151193480942, 'R2': -2.518538606434281}"
9:1,"{'MAE': 102.23826131317006, 'MAPE': 5.677152757240744, 'RMSE': 126.8970538455452, 'WAPE': 5.740630055635426, 'R2': 0.049089649974918825}","{'MAE': 62.49747914546934, 'MAPE': 27.094780692001525, 'RMSE': 74.84587765416681, 'WAPE': 23.78693942900535, 'R2': -1.6757165820955278}","{'MAE': 3341.98579756475, 'MAPE': 11.808452821255417, 'RMSE': 3734.9982255271225, 'WAPE': 11.995890333066859, 'R2': -3.5402156214805034}"
